Nom;Prénom;Genre;Année de naissance ;Lieu de naissance;Nationalité;Langue d’écriture;Année d’obtention du prix Nobel 
Prudhomme;Sully;Masculin;1881;Paris;France;Français ;1901
Mommsen;Theodor ;Masculin;1817;Garding;Empire allemand;Allemand;1902
Bjornson;Bjornstjerne;Masculin;1832;Kvikne ;Norvège;Norvégien;1904
Mistral;Frédéric;Masculin;1830;Maillane;France;Français;1904
Echegaray (de);José;Masculin;1832;Murcie;Espagne ;Occitan;1905
Sienkiewiz;Henryk ;Masculin;1846;Wola Okrzejska ;Pologne;Polonais;1906
Carducci;Giosue ;Masculin;1835;Valdicastello;Italie;Italien ;1907
Kipling;Rudyard;Masculin;1865;Malabar Hill;Royaume-Uni;Anglais;1908
Eucken;Rudolf;Masculin;1846;;Empire allemand;Allemand;1909
Lagerlof;Selma;Féminin ;1858;Värmland;Suède;Suèdois;1910
Paul Heyse;;;;;;;
Maurice Maeterlinck;;;;;;;
Gerhart Hauptmann;;;;;;;
Rabindranath Tagore;;;;;;;
Romain Rolland;;;;;;;
Verner von Heidenstam;;;;;;;
Karl Gjellerup;;;;;;;
Carl Spitteler;;;;;;;
Knut Pedersen Hamsun;;;;;;;
Anatole France;;;;;;;
Jacinto Benavente;;;;;;;
William Butler Yeats;;;;;;;
Wladyslw Stanislaw Reymont;;;;;;;
George Bernard Shaw;;;;;;;
Gracia Deledda;;;;;;;
Henri Bergerson;;;;;;;
Sigrid Undset;;;;;;;
Thomas Mann;;;;;;;
Sinclair Lewis;;;;;;;
Erik Axel Karlfeldt ;;;;;;;
John Galsworthy ;;;;;;;
Ivan Bounine;;;;;;;
Luigi Pirandello;;;;;;;
Eugene O’Neill;;;;;;;
Roger Martin du Gard;;;;;;;
Pearl Buck ;;;;;;;
Frans Emil Silanpää;;;;;;;
Johannes Jensen;;;;;;;
Gabriela Mistral ;;;;;;;
Hermann Hesse;;;;;;;
André Gide;;;;;;;
Thomas Stearns Eliot;;;;;;;
William Faulkner ;;;;;;;
Bertrand Arthur William;;;;;;;
Pär Lagerkvist ;;;;;;;
François Mauriac;;;;;;;
Winston Churchill;;;;;;;
Ernest Hemingway ;;;;;;;
Halldor Laxness ;;;;;;;
Juan Ramon Jiménez ;;;;;;;
Albert Camus ;;;;;;;
Boris Pasternak;;;;;;;
Salvaotre Quasimodo;;;;;;;
Saint-John Perse;;;;;;;
Ivo Andric ;;;;;;;
John Steinbeck;;;;;;;
George Séféris ;;;;;;;
Jean-Paul Sartre ;;;;;;;
Mikhaïl Cholokhov ;;;;;;;
Samuel Jospeh Agnon;;;;;;;
Nelly Sachs ;;;;;;;
Miguel Angel Asturias ;;;;;;;
Yasunari Kawabata ;;;;;;;
Samuel Beckett;;;;;;;
Alexandre Soljenitsyne ;;;;;;;
Pablo Neruda ;;;;;;;
Heinrich Böll ;;;;;;;
Patrick White ;;;;;;;
Eyvind Johnson ;;;;;;;
Harry Martinson ;;;;;;;
Eugenio Montale ;;;;;;;
Saul Bellow ;;;;;;;
Vicente Aleixandre;;;;;;;
Isaac Singer ;;;;;;;
Odysséas Elytis ;;;;;;;
Czeslaw Milosz ;;;;;;;
Elias Canetti;;;;;;;
Gabriel Garcia Marquez ;;;;;;;
William Golding ;;;;;;;
Jaroslav Seifert ;;;;;;;
Claude Simon ;;;;;;;
Whole Brodsky ;;;;;;;
Naguib Mahfouz ;;;;;;;
Camilo José Cela;;;;;;;
Octavio Paz ;;;;;;;
Nadine Gordimer;;;;;;;
Derek Walcott ;;;;;;;
Toni Morrison ;;;;;;;
Kenzaburo Oe ;;;;;;;
Seamus Heaney;;;;;;;
Wislawa Szymbroska;;;;;;;
Dario Fo;;;;;;;
José Saramago ;;;;;;;
Günter Grass ;;;;;;;
Gao Xingjian ;;;;;;;
Vidiadhar Surajprasad Naipaul ;;;;;;;
Imre Kertész ;;;;;;;
John Maxwell Coetzee;;;;;;;
Elfriede Jelinek;;;;;;;
Harold Pinter ;;;;;;;
Orhan Lessing ;;;;;;;
Jean-Marie Gustave Le Clézio ;;;;;;;
Herat Müller ;;;;;;;
Mario Vargas Llosa ;;;;;;;
Tomas Tranströmer ;;;;;;;
Mo Yan ;;;;;;;
Alice Munro;;;;;;;
Peter Handke ;;;;;;;
Abdulrazak Gurnah ;;;;;;;
Jon Fosse ;;;;;;;

Nom;Type;Siège
Académie française;Académie;Paris
Université de Zurich;Université;Zurich
Université de Leipzig;Université;Leipzig 
Parti progressiste allemand ;Parti politique ;Berlin
Académie suédoise;Académie ;Suède
Gouvernement espagnol ;Gouvernement ;Madrid 
Parlement espagnol ;Parlement;Madrid
Eglise catholique;Institution religieuse ;Rome
Mouvement pour l'indépendance de l'Inde;Mouvement politique ;/
Collège de France;Université ? (Grand établissement);Paris

Nom;Type;Notes;;
Paris;Ville;;;
Stockholm ;Ville ;;;
France;Pays ;;;
Europe;Continent ;;;
10e arrondissement de Paris ;Commune ;Commune de naissance de Sully Prudhomme;;


Personne;Lieu;Type de relation;Date de l’évènement;Date de Début;Date de fin 
Theodor Mommsen;Garding;Naissance;1817;;
Theodor Mommsen;Charlottenbourg;Décès;1903;;
Theodor Mommsen;Altona;Etudie;;1831;1838
Theodor Mommsen;Italie ;Voyage ;;1844;1847
Sinclair Lewis;Sauk Centre;Enterrement  ;1951;;
